Type,Depth,Neurons,Accuracy,Loss
2(BiLSTM),2,256,0.732182814,1.032221508
1(LSTM),1,128,0.731182814,1.064173341
1(LSTM),2,256,0.725806475,1.37027967
2(BiLSTM),1,128,0.715053737,1.074542999
1(LSTM),1,256,0.709677398,1.029816628
3(AttBiLSTM),2,128,0.709677398,1.553847313
1(LSTM),2,128,0.704301059,1.386168599
2(BiLSTM),1,256,0.704301059,1.119752288
1(LSTM),3,128,0.69892472,1.536148787
2(BiLSTM),1,32,0.69892472,1.191645622
3(AttBiLSTM),1,32,0.69892472,1.490422606
2(BiLSTM),1,64,0.693548381,1.131184936
2(BiLSTM),2,64,0.693548381,1.291905284
2(BiLSTM),3,256,0.693548381,1.56392777
3(AttBiLSTM),3,32,0.693548381,1.697808385
3(AttBiLSTM),2,64,0.693548381,1.584901571
3(AttBiLSTM),3,256,0.693548381,3.296642065
1(LSTM),3,256,0.688172042,1.57809937
3(AttBiLSTM),1,64,0.688172042,1.525050998
3(AttBiLSTM),1,128,0.688172042,1.561496854
2(BiLSTM),3,64,0.682795703,1.517478824
3(AttBiLSTM),1,256,0.682795703,2.132096291
1(LSTM),1,64,0.677419364,1.171204925
3(AttBiLSTM),3,128,0.677419364,3.469853878
3(AttBiLSTM),2,256,0.677419364,4.4842906
2(BiLSTM),2,128,0.666666687,1.405708194
3(AttBiLSTM),3,64,0.666666687,2.80774641
3(AttBiLSTM),2,32,0.655913949,1.772583842
1(LSTM),2,64,0.645161271,1.566853523
2(BiLSTM),2,32,0.645161271,1.314821839
2(BiLSTM),3,32,0.645161271,1.504475713
2(BiLSTM),3,128,0.639784932,1.68176043
1(LSTM),3,32,0.629032254,1.535190344
1(LSTM),2,32,0.618279576,1.45837307
1(LSTM),1,32,0.607526898,1.402555704
1(LSTM),3,64,0.591397822,1.88719666
