Type,Depth,Neurons,Accuracy,Loss
2(BiLSTM),2,256,0.737182814,1.172219276
1(LSTM),1,256,0.736559153,1.050467372
1(LSTM),2,256,0.736559153,1.262973785
2(BiLSTM),1,256,0.725806475,0.935300171
3(AttBiLSTM),1,128,0.725806475,1.548472881
2(BiLSTM),2,128,0.720430136,1.157844067
2(BiLSTM),1,128,0.715053737,1.015348911
3(AttBiLSTM),2,64,0.709677398,1.596460938
1(LSTM),1,128,0.704301059,1.025222898
1(LSTM),2,128,0.704301059,1.283608437
2(BiLSTM),3,64,0.69892472,1.486999512
2(BiLSTM),3,256,0.69892472,1.55455482
3(AttBiLSTM),2,32,0.69892472,1.596225858
3(AttBiLSTM),1,64,0.69892472,1.358998775
2(BiLSTM),1,64,0.693548381,1.006222963
2(BiLSTM),3,128,0.693548381,1.531261802
3(AttBiLSTM),3,256,0.693548381,3.278309107
2(BiLSTM),1,32,0.688172042,1.116112113
2(BiLSTM),2,64,0.688172042,1.270343542
3(AttBiLSTM),3,64,0.682795703,1.778282762
3(AttBiLSTM),1,32,0.677419364,1.573455334
3(AttBiLSTM),2,128,0.677419364,2.972733974
1(LSTM),3,256,0.672043025,1.645533085
3(AttBiLSTM),1,256,0.672043025,2.502076626
2(BiLSTM),2,32,0.666666687,1.395095706
1(LSTM),1,64,0.661290348,1.195035338
1(LSTM),3,128,0.661290348,1.552896857
3(AttBiLSTM),3,32,0.661290348,2.147391796
1(LSTM),3,64,0.655913949,1.528082609
3(AttBiLSTM),2,256,0.655913949,4.45655489
1(LSTM),2,64,0.65053761,1.595425487
1(LSTM),1,32,0.645161271,1.353480339
1(LSTM),2,32,0.639784932,1.377264023
2(BiLSTM),3,32,0.639784932,1.463312626
3(AttBiLSTM),3,128,0.586021483,4.154670715
1(LSTM),3,32,0.537634432,1.988611698
