Type,Depth,Neurons,Accuracy,Loss
3(AttBiLSTM),1,32,0.741935492,1.272485852
2(BiLSTM),2,64,0.736559153,1.221551418
2(BiLSTM),2,128,0.725806475,1.203062296
3(AttBiLSTM),1,64,0.725806475,1.382747889
3(AttBiLSTM),2,64,0.715053737,1.422338963
3(AttBiLSTM),2,128,0.715053737,1.528490186
1(LSTM),1,256,0.704301059,1.088236332
2(BiLSTM),1,64,0.704301059,0.995519102
2(BiLSTM),1,256,0.704301059,1.046753168
1(LSTM),2,256,0.69892472,1.431516767
2(BiLSTM),2,256,0.69892472,1.357465863
2(BiLSTM),3,256,0.69892472,1.598726988
3(AttBiLSTM),1,128,0.69892472,1.574274898
1(LSTM),2,128,0.693548381,1.468502522
3(AttBiLSTM),2,32,0.693548381,1.517172217
1(LSTM),1,128,0.688172042,1.077477455
2(BiLSTM),2,32,0.682795703,1.326151013
2(BiLSTM),3,64,0.677419364,1.450679541
2(BiLSTM),1,128,0.677419364,1.03477478
2(BiLSTM),3,128,0.677419364,1.712862372
1(LSTM),2,64,0.672043025,1.445646167
1(LSTM),3,256,0.672043025,1.785456777
3(AttBiLSTM),3,64,0.666666687,1.993767381
3(AttBiLSTM),3,256,0.666666687,3.672113895
2(BiLSTM),1,32,0.661290348,1.125887036
2(BiLSTM),3,32,0.661290348,1.410306573
3(AttBiLSTM),2,256,0.661290348,4.376110554
3(AttBiLSTM),3,128,0.655913949,2.976892233
1(LSTM),3,64,0.65053761,1.553975105
1(LSTM),3,128,0.65053761,1.591240644
3(AttBiLSTM),1,256,0.65053761,4.463811874
3(AttBiLSTM),3,32,0.645161271,2.180375576
1(LSTM),1,64,0.629032254,1.239946485
1(LSTM),2,32,0.623655915,1.395225406
1(LSTM),3,32,0.612903237,1.680988789
1(LSTM),1,32,0.569892466,1.66817677
