Type,Depth,Neurons,Accuracy,Loss
2(BiLSTM),1,32,0.993749976,0.036997255
1(LSTM),1,256,0.993739976,0.029235762
3(AttBiLSTM),1,128,0.992874988,0.017106306
2(BiLSTM),1,64,0.990625024,0.042911872
2(BiLSTM),2,256,0.990625024,0.034837592
1(LSTM),1,32,0.987500012,0.072534107
1(LSTM),1,128,0.987500012,0.050163187
1(LSTM),2,256,0.987500012,0.054196239
2(BiLSTM),1,128,0.987500012,0.037702225
2(BiLSTM),1,256,0.987500012,0.027661037
3(AttBiLSTM),1,64,0.987500012,0.037719011
1(LSTM),1,64,0.984375,0.053692471
1(LSTM),2,64,0.984375,0.060485464
2(BiLSTM),2,128,0.984375,0.059093319
2(BiLSTM),3,128,0.984375,0.053997178
3(AttBiLSTM),1,32,0.984375,0.054908354
3(AttBiLSTM),2,64,0.984375,0.056985445
3(AttBiLSTM),1,256,0.984375,0.111855313
3(AttBiLSTM),2,128,0.978124976,0.140579149
1(LSTM),2,32,0.975000024,0.07333795
1(LSTM),2,128,0.975000024,0.076831959
2(BiLSTM),2,32,0.975000024,0.086219475
2(BiLSTM),3,32,0.975000024,0.095334969
2(BiLSTM),3,64,0.975000024,0.080583736
2(BiLSTM),3,256,0.975000024,0.110949196
2(BiLSTM),2,64,0.971875012,0.080247022
3(AttBiLSTM),3,128,0.971875012,0.104650423
3(AttBiLSTM),2,256,0.971875012,0.346028835
1(LSTM),3,32,0.96875,0.175733984
3(AttBiLSTM),2,32,0.96875,0.101901032
1(LSTM),3,256,0.965624988,0.151788667
3(AttBiLSTM),3,32,0.965624988,0.0796142
3(AttBiLSTM),3,64,0.965624988,0.190376952
1(LSTM),3,128,0.959375024,0.190053135
1(LSTM),3,64,0.949999988,0.198474094
3(AttBiLSTM),3,256,0.940625012,0.313901961
