Type,Depth,Neurons,Accuracy,Loss
2(BiLSTM),2,64,0.978124976,0.077230684
2(BiLSTM),1,128,0.978124976,0.074097015
3(AttBiLSTM),1,64,0.978124976,0.109450124
2(BiLSTM),2,256,0.971875012,0.075721353
3(AttBiLSTM),1,32,0.971875012,0.069527067
3(AttBiLSTM),2,32,0.971875012,0.078438565
3(AttBiLSTM),3,32,0.971875012,0.088888228
3(AttBiLSTM),1,128,0.971875012,0.13990058
1(LSTM),2,256,0.96875,0.125132948
2(BiLSTM),1,32,0.96875,0.106863417
2(BiLSTM),1,256,0.96875,0.088438727
3(AttBiLSTM),2,64,0.96875,0.082110271
2(BiLSTM),3,256,0.965624988,0.141517431
3(AttBiLSTM),2,256,0.965624988,0.321109384
3(AttBiLSTM),3,256,0.962499976,0.301745087
1(LSTM),3,128,0.959375024,0.187291965
1(LSTM),1,256,0.959375024,0.109810039
2(BiLSTM),2,32,0.959375024,0.117798015
2(BiLSTM),1,64,0.959375024,0.115284264
2(BiLSTM),2,128,0.959375024,0.13227731
3(AttBiLSTM),3,64,0.959375024,0.152680635
3(AttBiLSTM),2,128,0.959375024,0.162493438
1(LSTM),1,64,0.956250012,0.127031296
1(LSTM),1,128,0.956250012,0.130813926
2(BiLSTM),3,128,0.956250012,0.163511813
1(LSTM),1,32,0.949999988,0.172860131
1(LSTM),3,32,0.949999988,0.195811912
1(LSTM),3,64,0.949999988,0.221170589
1(LSTM),2,128,0.949999988,0.173806652
1(LSTM),3,256,0.949999988,0.186872482
2(BiLSTM),3,64,0.934374988,0.254285991
1(LSTM),2,64,0.931249976,0.230897516
2(BiLSTM),3,32,0.931249976,0.25075987
1(LSTM),2,32,0.928125024,0.217620328
3(AttBiLSTM),3,128,0.925000012,0.491535038
3(AttBiLSTM),1,256,0.925000012,0.571414828
