Type,Depth,Neurons,Accuracy,Loss
3(AttBiLSTM),2,32,0.990625024,0.034982976
3(AttBiLSTM),2,64,0.987500012,0.050689913
1(LSTM),3,64,0.984375,0.061353691
1(LSTM),1,128,0.984375,0.089914188
2(BiLSTM),1,128,0.984375,0.061059229
2(BiLSTM),1,256,0.984375,0.053514421
3(AttBiLSTM),1,32,0.984375,0.05568878
1(LSTM),1,256,0.981249988,0.076577805
2(BiLSTM),2,128,0.981249988,0.052399743
3(AttBiLSTM),1,64,0.981249988,0.040303409
3(AttBiLSTM),1,128,0.981249988,0.054838248
2(BiLSTM),1,64,0.978124976,0.067345217
3(AttBiLSTM),3,64,0.978124976,0.099270247
1(LSTM),2,128,0.975000024,0.085976169
2(BiLSTM),1,32,0.975000024,0.099435583
2(BiLSTM),2,256,0.975000024,0.07047341
1(LSTM),1,64,0.971875012,0.10803771
2(BiLSTM),3,64,0.971875012,0.133567169
2(BiLSTM),3,256,0.971875012,0.09146221
3(AttBiLSTM),2,128,0.971875012,0.217657954
1(LSTM),1,32,0.96875,0.15820916
1(LSTM),2,256,0.96875,0.100519143
3(AttBiLSTM),3,32,0.96875,0.162038654
2(BiLSTM),2,64,0.965624988,0.102878071
2(BiLSTM),3,128,0.965624988,0.163376302
3(AttBiLSTM),3,128,0.959375024,0.270398974
1(LSTM),2,64,0.956250012,0.131697416
1(LSTM),3,128,0.956250012,0.178469867
2(BiLSTM),3,32,0.956250012,0.183189943
3(AttBiLSTM),2,256,0.956250012,0.37260133
3(AttBiLSTM),3,256,0.956250012,0.366660565
1(LSTM),3,32,0.953125,0.219418168
3(AttBiLSTM),1,256,0.953125,0.323776186
2(BiLSTM),2,32,0.949999988,0.188738376
1(LSTM),2,32,0.946874976,0.192807883
1(LSTM),3,256,0.940625012,0.181901857
