Type,Depth,Neurons,Accuracy,Loss
2(BiLSTM),1,256,0.899999976,0.57801187
2(BiLSTM),1,64,0.866666675,0.678361773
1(LSTM),2,256,0.833333313,0.680667102
2(BiLSTM),2,64,0.833333313,0.580633819
2(BiLSTM),3,256,0.833333313,0.654040933
1(LSTM),2,128,0.800000012,1.003827333
1(LSTM),3,256,0.800000012,1.34105742
2(BiLSTM),2,256,0.800000012,0.562620103
3(AttBiLSTM),1,32,0.800000012,1.060176849
1(LSTM),1,128,0.766666651,1.013742924
1(LSTM),1,256,0.766666651,0.804213703
2(BiLSTM),1,32,0.766666651,0.83718282
2(BiLSTM),3,64,0.766666651,0.55723393
2(BiLSTM),1,128,0.766666651,0.606612444
3(AttBiLSTM),2,32,0.766666651,1.129834414
2(BiLSTM),2,32,0.733333349,0.890243173
3(AttBiLSTM),3,32,0.733333349,1.147238493
1(LSTM),3,128,0.699999988,1.003454328
2(BiLSTM),3,32,0.699999988,0.97632736
2(BiLSTM),2,128,0.699999988,0.907523394
2(BiLSTM),3,128,0.699999988,1.072850347
3(AttBiLSTM),1,128,0.699999988,2.241199493
3(AttBiLSTM),3,64,0.666666687,1.760332942
3(AttBiLSTM),3,128,0.666666687,2.828321934
3(AttBiLSTM),2,256,0.666666687,2.272983313
3(AttBiLSTM),3,256,0.666666687,3.379055262
1(LSTM),2,32,0.633333325,1.500927448
3(AttBiLSTM),1,64,0.633333325,1.817722678
3(AttBiLSTM),2,64,0.633333325,1.589744329
3(AttBiLSTM),1,256,0.633333325,2.528821707
1(LSTM),1,64,0.600000024,1.426168799
3(AttBiLSTM),2,128,0.600000024,2.254486561
1(LSTM),1,32,0.566666663,1.695175648
1(LSTM),3,32,0.566666663,1.544910789
1(LSTM),2,64,0.533333361,1.159681201
1(LSTM),3,64,0.5,1.731187701
